"Tr","x1","x2","x3","M","Y"
1,-4.9867554598547,-3.71532565294051,26.7092777736804,12.0770993713128,18.6416229146672
1,25.0529761173608,-12.2737601996219,-14.63614923917,13.4959120107871,24.1960823643849
1,0.144779375170076,-2.66369180729869,35.9196720926811,12.7223072548106,18.8589294499866
1,-4.8405972059481,-0.478667394588197,3.99427839637548,11.2644709871801,15.3105618529148
1,6.57940603661622,5.27008143832745,20.7783958646769,11.8499229281291,19.5202020778441
1,-25.5803411322288,6.3360789706301,-9.26394901230714,12.3209438784453,21.1593124678305
1,17.6836581664153,9.56318333771559,-5.91561656268757,12.9353669017572,20.6907537918189
0,2.42570202308833,-9.76599624549993,8.99131565578646,11.7561886334371,12.090635524374
1,49.1849945304057,17.7739278911674,11.0582306092403,12.2082139119055,19.8295043413801
1,-5.960724106964,-4.80229535169852,13.4183020049649,11.8976447676458,21.0087506580354
0,-7.51623527221173,43.1659554826897,-6.51145578057104,12.3162566815964,12.7226766258452
1,12.1666301966611,-24.245675060635,-2.25638293859917,12.7681948963723,20.2078939337415
0,4.08656140489841,-5.83195404992406,11.3757857468666,9.18485806368357,10.8316099468895
1,9.53537330218058,5.42237244885631,35.0499763954593,11.3556925792853,17.962585705373
1,3.06827989352709,2.13825425625241,-3.59491395246652,11.8694257109774,19.0346849032725
0,8.648953448922,4.720389278283,-16.4576465469792,9.02844007722013,9.29698761074067
0,2.96293840580782,-61.1598718876773,14.4351701906069,8.65625401427663,8.22500069776982
1,-8.71642467068705,-8.72958523992974,34.6197821674056,10.0392873258911,14.9103015363684
0,22.7700701695175,-0.3059906147425,-9.61825534395937,10.0993151637842,10.5387837611889
1,17.7830476344191,36.7320020217016,-18.3111723150576,11.7233033019393,20.3891580814444
0,-14.7642778310626,3.4686206342434,3.85642812381253,8.29719320943568,8.74915614703797
0,-34.9874674045674,2.09516622482973,18.3576409544074,10.0125464709785,12.0601730065963
0,1.58037256930312,-12.8910507791764,-1.76369494341261,8.73289446790554,7.30495926124355
1,8.4909548118544,-1.78149235254793,-14.7060010506117,12.2487137232794,20.3224202686352
1,-5.01938000242888,0.507658963233996,-34.4299987442689,11.6789607970203,20.5805358221012
1,-1.63895668382776,1.8614569620795,-33.2446736771911,13.4728545046745,18.9235305759109
1,39.2316798872933,4.33325630075655,-15.9553335380375,13.8786905588811,21.3777955625789
1,-5.18907817187811,12.7007980474342,-21.3988780253508,12.3638210097343,17.5923617099161
1,12.3737827839259,-5.74949777395417,20.2744740851905,13.4125688936106,21.1743166765734
0,-2.43932840051597,-6.16926326747048,-13.0062712645991,10.5336982847365,10.2501311360342
1,22.2503962319222,49.8842730824906,-25.3342266732584,12.6910831007413,19.5296854968124
0,9.6200771842655,24.4225397418738,1.14681022624353,11.0888877180133,13.1956325990089
1,11.2469262391151,-6.9986236879191,-18.5868872332377,11.7419254973152,19.7172293491842
0,-6.1087594327255,5.92760613324851,-24.9670088023953,10.3330166024483,11.1968209137704
0,-12.2642824976632,0.100969609002201,6.06857146733696,9.32662385742945,10.2020547657748
0,17.0197070301533,-11.7153921483616,2.87537696545936,9.67600369296332,10.3291040454904
1,-10.0494962635986,30.9428540121906,-3.51767072402763,11.2641866993591,17.4372064040082
0,-8.86510900037243,-3.12569935094445,13.1475732365885,9.15990016439073,11.0201127215932
0,8.19910448241716,-2.68182956733902,-5.68482549835103,11.154230798219,9.34734635005446
1,3.27312175294981,3.98555654117809,-44.1122184786878,12.3566168389566,18.6327367395212
1,14.7537912773352,-12.7686332842125,9.81266726893109,12.0465101147423,17.4384004687359
0,3.30533325896576,-15.4330070097691,-20.8464708249368,9.45547857939749,11.7296128118865
0,0.759459442594483,-50.7213093819184,-10.5300776379426,9.85574090104873,7.10872990584847
0,19.8120310936219,61.4474925095667,5.51287815954524,10.6476491431259,11.499145117092
